,edad,ocupación,est_civil,nivel_educativo,contrato_meses,Cred_hipotecario,Cred_personal,Medio_contacto,Dia,Mes,duracion_seg,cont_campaña_actual,campañas_previas,aceptacion_TC
41,36,administrador,soltero,universitario,30,no,no,celular,11,agosto,106,2,0,no
42,52,informal,casado,bachillerato,69,si,no,celular,13,mayo,365,1,0,no
43,32,empresario,casado,universitario,10,si,no,celular,13,mayo,205,3,0,no
44,32,empresario,soltero,universitario,25,si,no,celular,21,noviembre,11,4,0,no
45,34,administrador,soltero,universitario,37,si,no,chat,7,mayo,105,2,0,no
46,55,informal,casado,primaria,29,no,no,telefono,2,febrero,59,3,2,no
47,26,informal,casado,primaria,27,si,no,chat,21,mayo,425,1,0,no
48,32,emprendedor,soltero,primaria,22,si,si,celular,4,febrero,204,1,0,no
49,61,independiente,casado,técnico,48,si,no,celular,27,enero,181,1,1,si
50,45,informal,divorciado,primaria,36,no,no,chat,5,junio,1018,3,0,si
51,37,empresario,soltero,bachillerato,62,si,no,celular,20,agosto,1740,2,0,no
52,38,empresario,soltero,bachillerato,42,no,no,celular,29,agosto,98,2,0,no
53,34,empresario,casado,universitario,40,si,no,celular,15,junio,441,1,1,si
54,53,informal,casado,bachillerato,50,si,no,celular,14,julio,272,3,0,no
55,48,independiente,casado,bachillerato,49,si,no,telefono,15,julio,159,2,0,no
56,57,administrador,casado,bachillerato,22,no,si,telefono,4,febrero,140,1,0,no
57,33,independiente,soltero,universitario,23,no,no,celular,17,noviembre,295,1,0,no
58,36,pensionado,soltero,bachillerato,25,si,si,chat,26,mayo,314,1,0,no
59,54,empresario,divorciado,bachillerato,71,si,si,chat,15,mayo,579,1,0,no
60,41,informal,casado,primaria,53,no,si,telefono,8,julio,554,3,0,no
61,63,pensionado,casado,bachillerato,41,si,no,celular,7,octubre,323,1,0,no
62,48,administrador,casado,universitario,2,no,no,celular,13,agosto,227,2,0,no
63,48,profesor,casado,bachillerato,17,no,no,celular,4,julio,134,2,0,no
64,56,independiente,casado,bachillerato,47,no,no,celular,7,octubre,223,1,0,no
65,51,informal,divorciado,bachillerato,60,si,no,celular,8,mayo,134,1,5,no
66,31,profesor,casado,bachillerato,35,si,no,celular,28,enero,155,1,0,no
67,29,empresario,casado,bachillerato,29,si,no,celular,21,julio,130,4,0,no
68,41,administrador,casado,bachillerato,28,no,si,celular,7,julio,630,3,0,no
69,32,empresario,soltero,universitario,64,no,no,celular,19,noviembre,164,2,0,no
70,37,administrador,casado,universitario,65,no,no,celular,16,julio,268,2,3,si
71,42,emprendedor,divorciado,universitario,19,si,no,chat,5,mayo,380,1,0,no
72,31,administrador,soltero,universitario,46,si,no,chat,9,mayo,154,2,0,no
73,41,profesor,casado,universitario,36,si,no,chat,3,junio,154,5,0,no
74,56,pensionado,casado,bachillerato,68,si,no,chat,15,mayo,221,1,0,no
75,54,administrador,divorciado,universitario,58,no,no,celular,14,agosto,67,2,0,no
76,41,informal,divorciado,bachillerato,65,si,no,celular,14,mayo,367,2,1,no
77,40,empresario,soltero,bachillerato,51,no,si,celular,14,agosto,87,6,0,no
78,50,informal,divorciado,primaria,26,no,no,celular,5,febrero,701,1,0,no
79,40,desempleado,casado,bachillerato,32,si,no,celular,17,noviembre,204,2,1,no
80,27,independiente,divorciado,bachillerato,37,si,no,celular,16,julio,652,1,0,si
81,60,pensionado,casado,primaria,28,no,no,celular,26,agosto,63,2,0,no
82,28,independiente,soltero,bachillerato,6,si,si,celular,6,mayo,150,1,0,no
83,52,profesor,casado,bachillerato,34,no,no,telefono,7,julio,398,2,2,si
84,37,administrador,casado,universitario,19,no,no,celular,30,junio,224,1,0,si
85,51,informal,casado,primaria,44,si,no,chat,7,mayo,406,2,0,no
86,41,empresario,soltero,bachillerato,6,no,si,celular,7,julio,60,4,0,no
87,35,informal,soltero,primaria,24,si,no,chat,30,mayo,521,2,0,no
88,38,independiente,casado,bachillerato,19,si,no,celular,17,abril,279,1,0,no
89,34,informal,casado,bachillerato,71,si,no,chat,20,mayo,203,2,0,no
90,39,informal,casado,primaria,54,no,no,celular,18,noviembre,201,2,0,no
91,34,informal,casado,primaria,25,si,no,chat,20,junio,372,3,0,no
92,27,profesor,soltero,bachillerato,29,si,no,celular,18,mayo,391,1,0,si
93,32,administrador,soltero,universitario,34,no,no,celular,14,agosto,165,2,0,no
94,57,informal,casado,bachillerato,23,no,no,celular,11,agosto,231,5,0,no
95,41,desconocido,soltero,universitario,17,no,no,celular,1,julio,291,2,0,no
96,41,independiente,casado,universitario,28,si,no,chat,14,mayo,149,2,0,no
97,30,independiente,soltero,universitario,47,no,no,celular,19,octubre,233,1,20,no
98,36,informal,divorciado,bachillerato,24,no,no,celular,12,febrero,473,1,1,no
99,31,desempleado,soltero,primaria,63,no,no,celular,4,febrero,736,1,0,si
100,36,informal,casado,bachillerato,66,si,no,chat,6,mayo,337,1,0,no
101,38,administrador,soltero,universitario,25,si,no,celular,11,mayo,553,1,7,no
102,49,empresario,casado,bachillerato,20,no,no,telefono,21,noviembre,345,2,0,no
103,57,profesor,soltero,primaria,47,si,no,telefono,13,mayo,65,2,0,no
104,34,administrador,soltero,bachillerato,48,no,no,chat,13,agosto,9,1,0,no
105,32,administrador,soltero,universitario,18,si,no,celular,14,abril,259,2,3,no
106,37,informal,casado,bachillerato,2,si,si,chat,9,junio,371,3,0,no
107,33,independiente,casado,universitario,43,si,no,celular,3,febrero,280,2,0,no
108,56,desempleado,casado,primaria,53,no,no,celular,21,abril,243,1,0,si
109,27,amadiciembreasa,casado,primaria,18,si,no,celular,23,julio,435,3,0,no
110,21,estudiante,soltero,bachillerato,41,no,no,celular,30,junio,258,6,3,si
111,58,administrador,casado,universitario,47,si,no,telefono,29,julio,7,5,0,no
112,32,independiente,casado,bachillerato,39,si,si,celular,15,julio,317,5,0,no
113,33,informal,soltero,bachillerato,27,no,no,celular,30,enero,76,2,1,no
114,25,estudiante,soltero,bachillerato,62,no,no,telefono,26,agosto,170,4,0,si
115,25,empresario,soltero,bachillerato,39,no,si,celular,17,noviembre,386,2,0,si
116,30,profesor,casado,bachillerato,42,si,no,celular,18,mayo,83,2,0,no
117,22,independiente,soltero,bachillerato,52,no,si,celular,19,agosto,65,1,0,no
118,39,informal,casado,primaria,19,no,no,celular,13,agosto,69,1,0,no
119,46,administrador,divorciado,universitario,64,no,no,chat,17,junio,564,2,0,no
120,31,independiente,divorciado,bachillerato,52,si,no,celular,21,julio,588,1,0,no
121,45,informal,casado,primaria,20,no,no,celular,18,agosto,113,4,0,no
122,32,empresario,casado,bachillerato,60,si,no,chat,21,mayo,16,1,0,no
123,36,informal,casado,bachillerato,38,no,si,celular,15,julio,779,2,0,no
124,51,administrador,soltero,universitario,48,si,no,celular,11,mayo,281,2,6,no
125,34,independiente,soltero,universitario,66,no,no,celular,21,agosto,1877,3,0,si
126,24,desempleado,soltero,bachillerato,69,no,no,chat,15,septiembre,51,1,0,no
127,45,empresario,soltero,bachillerato,15,no,si,celular,28,julio,32,3,0,no
128,32,informal,soltero,bachillerato,46,no,no,telefono,5,febrero,176,1,3,no
129,77,pensionado,divorciado,universitario,1,no,no,celular,14,abril,161,1,0,si
130,41,informal,casado,primaria,15,si,no,celular,18,noviembre,187,3,0,no
131,37,informal,casado,primaria,10,si,no,chat,26,mayo,24,1,0,no
132,43,informal,casado,técnico,27,si,no,chat,30,mayo,67,3,0,no
133,48,independiente,casado,técnico,12,si,no,celular,8,mayo,85,1,2,no
134,27,empresario,soltero,bachillerato,29,si,no,chat,9,mayo,317,2,0,no
135,33,administrador,soltero,universitario,43,no,no,celular,28,agosto,236,10,0,no
136,29,independiente,soltero,bachillerato,52,si,si,celular,7,mayo,54,1,2,no
137,34,administrador,soltero,universitario,30,no,no,celular,5,febrero,71,1,0,no
138,52,administrador,casado,universitario,67,si,no,celular,4,febrero,489,1,0,si
139,60,administrador,casado,técnico,28,no,no,chat,19,junio,39,2,0,no
140,32,administrador,divorciado,universitario,54,no,no,celular,12,agosto,204,2,0,no
141,32,administrador,soltero,universitario,70,si,no,celular,22,julio,455,2,0,no
142,56,profesor,divorciado,técnico,68,si,no,chat,30,mayo,86,1,0,no
143,31,administrador,soltero,universitario,54,si,no,celular,18,noviembre,190,2,0,no
144,42,independiente,casado,bachillerato,49,si,si,chat,8,mayo,280,2,0,no
145,35,administrador,casado,universitario,71,no,si,celular,11,agosto,588,2,0,no
146,56,pensionado,casado,primaria,40,no,si,chat,19,junio,45,9,0,no
147,48,empresario,casado,bachillerato,69,si,no,celular,21,julio,168,5,0,no
148,46,independiente,casado,bachillerato,17,si,no,celular,29,enero,194,4,1,no
149,37,empresario,soltero,técnico,22,si,no,chat,8,mayo,103,3,0,no
150,41,emprendedor,casado,técnico,23,si,no,chat,6,mayo,333,2,0,no
151,36,administrador,soltero,universitario,34,si,si,celular,29,julio,102,3,0,no
152,45,desempleado,divorciado,primaria,27,si,si,chat,1,julio,92,1,0,no
153,55,emprendedor,casado,bachillerato,33,no,no,celular,6,febrero,213,2,0,no
154,39,empresario,casado,bachillerato,51,no,no,chat,26,mayo,289,1,0,no
155,35,empresario,divorciado,bachillerato,16,no,no,celular,22,agosto,77,2,0,no
156,55,independiente,casado,bachillerato,69,no,no,celular,1,junio,324,3,2,si
157,55,empresario,casado,bachillerato,46,si,no,celular,29,enero,84,3,3,no
158,27,independiente,soltero,bachillerato,72,no,no,celular,29,enero,168,1,0,no
159,34,empresario,casado,bachillerato,42,si,no,celular,17,abril,380,1,0,no
160,34,informal,casado,universitario,66,no,no,chat,4,octubre,10,1,0,no
161,25,independiente,soltero,bachillerato,22,si,no,chat,28,mayo,199,2,0,no
162,41,independiente,soltero,bachillerato,48,no,si,chat,9,mayo,35,3,0,no
163,43,profesor,casado,bachillerato,28,si,si,chat,26,mayo,82,2,0,no
164,28,administrador,soltero,universitario,15,no,no,celular,20,octubre,676,2,2,si
165,31,independiente,soltero,bachillerato,23,si,no,chat,3,junio,455,1,0,no
166,78,amadiciembreasa,casado,bachillerato,19,no,no,telefono,16,marzo,80,4,0,no
167,45,informal,divorciado,bachillerato,36,si,no,celular,29,enero,549,2,0,no
168,48,empresario,casado,universitario,28,no,no,chat,6,mayo,135,1,0,no
169,32,informal,soltero,bachillerato,68,si,si,celular,10,julio,412,1,0,no
170,42,empresario,casado,bachillerato,4,no,no,chat,20,junio,101,3,0,no
171,37,administrador,soltero,universitario,19,no,no,celular,28,enero,253,2,0,no
172,40,independiente,soltero,bachillerato,56,si,si,celular,6,abril,272,1,4,no
173,32,independiente,casado,bachillerato,48,si,no,celular,17,julio,84,1,0,no
174,42,administrador,casado,universitario,68,no,no,celular,20,noviembre,135,2,0,no
175,43,independiente,casado,bachillerato,10,si,si,celular,23,julio,166,1,0,no
176,44,independiente,casado,bachillerato,33,si,si,celular,31,julio,18,7,0,no
177,37,independiente,casado,bachillerato,66,si,no,celular,5,mayo,147,2,1,no
178,37,desconocido,casado,técnico,45,no,no,chat,9,junio,63,1,0,no
179,37,independiente,casado,universitario,46,si,no,celular,17,noviembre,65,2,1,no
180,28,empresario,soltero,universitario,26,si,si,celular,2,febrero,194,2,0,no
181,32,profesor,soltero,bachillerato,57,no,si,celular,11,julio,333,2,0,no
182,34,independiente,soltero,bachillerato,59,si,no,celular,15,mayo,14,5,0,no
183,40,independiente,divorciado,bachillerato,34,no,no,chat,11,junio,140,1,0,no
184,34,profesor,casado,bachillerato,13,si,no,chat,16,junio,109,3,0,no
185,34,independiente,casado,universitario,53,si,no,celular,23,julio,61,2,0,no
186,34,independiente,casado,universitario,19,si,no,telefono,19,noviembre,377,3,4,no
187,37,profesor,soltero,bachillerato,26,si,no,celular,2,febrero,96,1,2,no
188,36,empresario,casado,bachillerato,3,si,no,celular,8,mayo,152,2,1,no
189,56,pensionado,casado,bachillerato,30,si,no,celular,15,junio,382,2,0,si
190,49,informal,casado,primaria,1,si,si,telefono,23,julio,97,6,0,no
191,33,independiente,casado,bachillerato,62,si,no,celular,29,julio,543,12,0,no
192,30,administrador,soltero,universitario,58,no,no,celular,20,noviembre,240,2,0,no
193,36,profesor,casado,bachillerato,5,no,no,chat,17,junio,48,2,0,no
194,23,estudiante,soltero,bachillerato,6,no,no,celular,5,junio,471,2,0,no
195,57,pensionado,divorciado,bachillerato,60,si,no,celular,30,julio,354,3,0,no
196,27,informal,soltero,bachillerato,64,si,no,chat,30,mayo,435,2,0,no
197,38,profesor,casado,bachillerato,41,no,si,celular,21,noviembre,152,2,0,no
198,42,empresario,casado,universitario,19,no,no,celular,3,abril,285,1,0,no
199,75,pensionado,casado,bachillerato,22,no,no,telefono,15,abril,185,1,2,si
200,34,empresario,soltero,universitario,36,si,no,celular,4,mayo,301,1,2,no
201,48,empresario,casado,bachillerato,57,no,no,celular,6,agosto,273,2,0,no
202,35,empresario,soltero,universitario,67,si,no,celular,19,agosto,768,2,3,si
203,39,administrador,divorciado,universitario,59,si,no,celular,19,noviembre,1337,4,1,no
204,29,informal,soltero,universitario,12,no,no,telefono,21,abril,403,1,0,si
205,45,empresario,soltero,universitario,38,si,no,celular,18,noviembre,139,2,0,no
206,42,empresario,casado,bachillerato,70,si,si,celular,9,julio,196,1,0,no
207,29,empresario,casado,bachillerato,8,si,no,celular,8,julio,115,1,1,no
208,38,profesor,soltero,bachillerato,37,si,no,celular,2,febrero,60,1,1,no
209,56,pensionado,casado,bachillerato,54,no,no,celular,28,agosto,17,14,0,no
210,36,empresario,soltero,bachillerato,71,si,no,celular,13,agosto,141,3,0,no
211,25,informal,soltero,bachillerato,63,si,no,chat,23,junio,95,3,0,no
212,38,empresario,casado,universitario,5,si,no,celular,15,mayo,10,2,1,no
213,57,independiente,casado,bachillerato,43,no,no,celular,19,noviembre,198,1,0,no
214,31,administrador,casado,universitario,46,no,no,celular,12,agosto,220,4,0,no
215,42,administrador,casado,universitario,1,si,no,celular,3,agosto,654,2,0,si
216,45,empresario,casado,bachillerato,47,no,no,celular,11,agosto,71,2,0,no
217,30,informal,casado,bachillerato,66,si,no,celular,13,mayo,256,2,2,no
218,49,informal,casado,primaria,21,si,si,telefono,10,julio,834,10,0,no
219,49,profesor,casado,bachillerato,4,no,no,celular,21,agosto,151,3,0,no
220,53,pensionado,casado,universitario,53,si,no,celular,31,julio,20,3,0,no
221,37,empresario,casado,bachillerato,14,si,no,chat,26,mayo,178,5,0,no
222,49,informal,casado,primaria,59,no,no,chat,26,mayo,59,2,0,no
223,41,independiente,casado,primaria,21,no,no,celular,13,agosto,111,7,0,no
224,54,administrador,casado,primaria,66,si,no,celular,20,noviembre,186,1,0,no
225,32,profesor,soltero,bachillerato,2,si,no,chat,6,mayo,227,1,0,no
226,33,empresario,casado,bachillerato,15,no,no,celular,15,mayo,297,3,0,no
227,33,empresario,casado,bachillerato,34,si,no,celular,20,abril,210,1,1,no
228,36,informal,casado,primaria,27,si,no,celular,18,mayo,9,1,0,no
229,35,empresario,casado,universitario,37,si,si,celular,23,septiembre,112,1,6,no
230,52,desconocido,casado,bachillerato,1,no,no,celular,25,agosto,112,6,0,no
231,40,emprendedor,casado,universitario,68,no,no,chat,9,junio,222,3,0,no
232,44,empresario,soltero,bachillerato,46,si,no,celular,13,mayo,195,3,10,no
233,45,informal,soltero,bachillerato,64,si,no,celular,26,julio,768,2,5,no
234,30,estudiante,soltero,bachillerato,11,no,no,celular,26,enero,123,1,0,no
235,48,empresario,divorciado,bachillerato,70,no,no,celular,27,agosto,145,3,0,no
236,33,informal,casado,bachillerato,19,si,no,celular,2,abril,124,1,2,no
237,57,empresario,casado,técnico,38,si,no,chat,5,mayo,216,3,0,no
238,57,amadiciembreasa,casado,primaria,30,no,no,chat,6,junio,69,3,0,no
239,51,desempleado,casado,universitario,39,si,no,celular,22,julio,168,4,0,no
240,34,independiente,soltero,bachillerato,67,si,no,celular,22,julio,483,7,0,no
241,50,independiente,casado,universitario,24,no,no,celular,19,noviembre,690,3,0,no
242,44,administrador,casado,universitario,39,no,no,celular,28,agosto,125,12,0,no
243,27,independiente,casado,bachillerato,27,si,si,chat,4,junio,344,2,0,no
244,50,informal,casado,bachillerato,40,si,no,chat,14,mayo,673,2,0,no
245,36,administrador,casado,universitario,28,si,no,celular,28,enero,60,1,1,no
246,42,administrador,casado,bachillerato,32,si,no,chat,12,mayo,247,2,0,no
247,32,desempleado,soltero,bachillerato,9,no,no,celular,27,mayo,123,2,0,no
248,42,administrador,casado,universitario,15,si,no,celular,11,julio,144,2,0,no
249,43,empresario,casado,bachillerato,23,no,si,celular,8,mayo,9,2,5,no
250,31,administrador,casado,universitario,50,si,no,celular,9,febrero,155,3,0,no
251,32,administrador,casado,universitario,58,no,no,celular,14,agosto,134,5,0,no
252,55,informal,divorciado,primaria,63,no,si,celular,11,julio,221,2,0,no
253,58,pensionado,casado,primaria,44,si,no,celular,3,febrero,84,3,2,no
254,46,informal,casado,primaria,28,no,no,celular,8,agosto,71,2,0,no
255,55,informal,casado,bachillerato,54,si,si,chat,23,mayo,246,4,0,no
256,34,administrador,casado,universitario,45,no,si,celular,23,julio,361,2,0,no
257,28,desempleado,soltero,bachillerato,59,no,no,celular,12,agosto,119,4,0,no
258,42,empresario,divorciado,universitario,3,si,no,celular,29,julio,375,2,0,no
259,29,informal,soltero,bachillerato,1,no,si,celular,10,julio,1097,3,0,si
260,54,amadiciembreasa,casado,bachillerato,24,si,si,celular,25,julio,97,1,0,no
261,32,empresario,soltero,bachillerato,44,no,no,celular,26,agosto,181,2,0,no
262,39,empresario,soltero,universitario,7,no,no,celular,2,febrero,83,3,0,no
263,53,emprendedor,casado,universitario,63,no,si,celular,21,julio,180,4,0,no
264,58,empresario,casado,universitario,36,no,no,celular,18,agosto,543,1,2,no
265,40,independiente,casado,bachillerato,6,si,si,chat,23,mayo,373,1,0,no
266,29,estudiante,soltero,bachillerato,12,si,no,chat,7,mayo,230,1,0,no
267,33,empresario,casado,universitario,61,si,si,celular,15,julio,83,3,0,no
268,38,independiente,soltero,bachillerato,59,si,no,telefono,31,julio,58,13,0,no
269,56,profesor,divorciado,bachillerato,15,no,no,celular,29,julio,88,6,0,no
270,40,profesor,casado,bachillerato,29,si,no,celular,2,junio,297,1,3,no
271,24,informal,soltero,bachillerato,63,si,si,celular,18,mayo,487,1,0,si
272,46,administrador,casado,bachillerato,8,no,no,chat,20,junio,29,3,0,no
273,35,independiente,casado,bachillerato,22,si,no,celular,21,noviembre,484,4,0,no
274,35,informal,soltero,universitario,27,si,no,celular,21,julio,262,4,0,no
275,34,empresario,casado,bachillerato,43,si,no,chat,15,mayo,644,1,0,no
276,35,amadiciembreasa,casado,universitario,55,no,no,celular,12,agosto,699,2,1,no
277,38,empresario,soltero,universitario,13,no,no,celular,28,agosto,247,2,0,no
278,50,informal,casado,primaria,50,no,no,celular,18,noviembre,49,3,0,no
279,51,informal,divorciado,primaria,39,si,no,celular,13,mayo,341,1,0,no
280,59,independiente,casado,universitario,19,no,no,chat,13,mayo,64,2,0,no
281,32,informal,casado,bachillerato,53,si,no,celular,20,abril,121,1,0,no
282,37,informal,soltero,bachillerato,72,si,no,chat,2,junio,98,1,0,no
283,42,independiente,divorciado,bachillerato,62,no,no,chat,16,mayo,88,6,0,no
284,40,estudiante,casado,bachillerato,27,no,no,chat,20,junio,197,6,0,no
285,28,empresario,soltero,universitario,55,si,no,chat,9,mayo,331,1,0,no
286,47,independiente,casado,bachillerato,15,si,no,chat,6,junio,83,3,0,no
287,27,independiente,casado,bachillerato,33,si,no,chat,26,mayo,138,2,0,no
288,41,administrador,casado,universitario,67,si,no,celular,17,julio,312,5,0,no
289,34,independiente,casado,universitario,43,no,si,celular,4,agosto,120,3,6,si
290,50,informal,casado,primaria,67,si,no,celular,7,agosto,526,2,0,si
291,47,informal,casado,bachillerato,43,si,no,chat,28,mayo,211,2,0,no
292,53,profesor,casado,bachillerato,18,no,no,celular,18,agosto,62,6,0,no
293,53,empresario,divorciado,bachillerato,48,si,si,celular,15,julio,135,5,0,no
294,47,administrador,casado,universitario,53,no,no,celular,14,agosto,101,2,0,no
295,49,emprendedor,divorciado,técnico,69,si,no,celular,30,julio,988,2,0,si
296,29,administrador,casado,universitario,31,no,no,celular,28,enero,451,1,0,no
297,45,informal,divorciado,primaria,18,si,no,chat,23,mayo,1030,1,0,si
298,38,emprendedor,casado,bachillerato,34,si,si,celular,24,julio,1484,24,0,si
299,32,informal,casado,bachillerato,59,si,no,celular,9,abril,317,5,0,si
300,70,pensionado,divorciado,primaria,3,no,no,celular,18,mayo,445,1,0,no
301,65,pensionado,divorciado,primaria,51,no,no,celular,1,junio,383,2,5,no
302,56,informal,casado,bachillerato,59,si,no,telefono,22,julio,605,1,0,no
303,35,informal,casado,bachillerato,68,si,no,celular,14,julio,330,2,0,no
304,56,administrador,casado,técnico,58,no,si,celular,25,julio,171,2,0,no
305,56,empresario,casado,bachillerato,36,no,si,celular,23,julio,442,2,0,no
306,49,emprendedor,casado,bachillerato,52,si,no,celular,17,abril,772,1,0,si
307,38,desempleado,casado,primaria,42,si,si,chat,8,mayo,249,5,0,no
308,35,administrador,casado,universitario,57,si,no,chat,9,mayo,357,1,0,no
309,38,independiente,casado,universitario,72,no,no,celular,18,noviembre,147,2,0,no
310,49,informal,casado,bachillerato,46,si,si,celular,6,mayo,199,7,1,no
311,55,administrador,casado,técnico,50,no,no,celular,28,enero,271,2,0,no
312,43,informal,soltero,primaria,66,si,no,celular,30,julio,783,3,0,no
313,43,administrador,casado,universitario,18,no,si,celular,20,agosto,472,2,0,no
314,25,independiente,soltero,universitario,64,si,no,celular,27,mayo,223,3,2,si
315,30,informal,casado,primaria,44,si,no,chat,21,mayo,395,2,0,no
316,46,informal,casado,bachillerato,20,no,no,celular,4,febrero,56,1,0,no
317,50,independiente,casado,primaria,44,no,si,chat,17,junio,641,6,0,no
318,35,emprendedor,casado,bachillerato,70,no,no,celular,4,mayo,429,4,2,si
319,26,desempleado,soltero,bachillerato,32,no,no,chat,31,mayo,113,1,0,no
320,45,independiente,casado,técnico,36,no,no,chat,20,junio,11,11,0,no
321,37,informal,casado,bachillerato,13,no,no,celular,2,febrero,157,1,0,no
322,60,independiente,soltero,universitario,31,no,si,celular,29,julio,79,4,0,no
323,38,administrador,casado,universitario,62,no,no,celular,4,agosto,178,1,1,si
324,47,informal,casado,primaria,48,si,si,chat,9,junio,168,1,0,no
325,33,empresario,casado,bachillerato,37,no,no,celular,9,noviembre,425,1,1,no
326,51,desempleado,casado,bachillerato,23,no,si,celular,19,noviembre,162,1,0,no
327,35,emprendedor,soltero,universitario,72,si,no,celular,18,julio,799,2,0,si
328,35,desempleado,casado,bachillerato,21,no,no,celular,29,diciembre,1370,3,3,si
329,48,independiente,soltero,bachillerato,29,si,no,chat,28,mayo,357,1,0,no
330,37,independiente,casado,bachillerato,22,no,no,celular,22,julio,22,6,0,no
331,29,empresario,soltero,universitario,43,si,no,celular,16,abril,215,3,3,no
332,34,independiente,casado,bachillerato,22,si,no,celular,31,julio,56,4,0,no
333,32,profesor,casado,primaria,69,si,no,celular,21,julio,1017,6,0,si
334,30,administrador,soltero,universitario,33,no,no,celular,16,abril,298,4,0,si
335,47,administrador,divorciado,universitario,70,no,si,chat,7,mayo,126,1,0,no
336,33,informal,casado,primaria,12,no,no,chat,20,septiembre,9,1,0,no
337,33,administrador,soltero,universitario,16,si,no,celular,5,febrero,8,1,5,no
338,63,pensionado,casado,primaria,22,no,no,celular,14,octubre,201,1,1,no
339,51,independiente,divorciado,primaria,57,no,no,celular,6,mayo,106,2,0,no
340,41,administrador,casado,universitario,36,si,si,celular,21,noviembre,164,1,1,no
341,56,pensionado,casado,universitario,27,no,no,celular,5,febrero,97,1,0,no
342,60,administrador,soltero,universitario,51,no,si,celular,23,julio,151,1,0,no
343,41,independiente,soltero,universitario,13,si,no,chat,30,mayo,96,2,0,no
344,37,administrador,soltero,técnico,4,si,no,celular,16,abril,555,1,0,no
345,36,informal,soltero,bachillerato,70,si,si,celular,11,mayo,270,2,1,no
346,57,administrador,casado,universitario,1,no,no,celular,29,julio,339,3,0,no
347,55,administrador,casado,primaria,60,no,no,celular,4,septiembre,328,2,2,si
348,44,independiente,casado,bachillerato,65,si,si,chat,16,mayo,159,1,0,no
349,47,independiente,casado,universitario,71,si,no,celular,6,mayo,323,2,1,no
