edad;ocupación;est_civil;nivel_educativo;contrato_meses;Cred_hipotecario;Cred_personal;Medio_contacto;Dia;Mes;duracion_seg;cont_campaña_actual;campañas_previas;aceptacion_TC
32;administrador;soltero;universitario;34;no;no;celular;14;agosto;165;2;0;no
57;informal;casado;bachillerato;23;no;no;celular;11;agosto;231;5;0;no
41;desconocido;soltero;universitario;17;no;no;celular;1;julio;291;2;0;no
41;independiente;casado;universitario;28;si;no;chat;14;mayo;149;2;0;no
30;independiente;soltero;universitario;47;no;no;celular;19;octubre;233;1;20;no
36;informal;divorciado;bachillerato;24;no;no;celular;12;febrero;473;1;1;no
31;desempleado;soltero;primaria;63;no;no;celular;4;febrero;736;1;0;si
36;informal;casado;bachillerato;66;si;no;chat;6;mayo;337;1;0;no
38;administrador;soltero;universitario;25;si;no;celular;11;mayo;553;1;7;no
49;empresario;casado;bachillerato;20;no;no;telefono;21;noviembre;345;2;0;no
57;profesor;soltero;primaria;47;si;no;telefono;13;mayo;65;2;0;no
34;administrador;soltero;bachillerato;48;no;no;chat;13;agosto;9;1;0;no
32;administrador;soltero;universitario;18;si;no;celular;14;abril;259;2;3;no
37;informal;casado;bachillerato;2;si;si;chat;9;junio;371;3;0;no
33;independiente;casado;universitario;43;si;no;celular;3;febrero;280;2;0;no
56;desempleado;casado;primaria;53;no;no;celular;21;abril;243;1;0;si
27;amadiciembreasa;casado;primaria;18;si;no;celular;23;julio;435;3;0;no
21;estudiante;soltero;bachillerato;41;no;no;celular;30;junio;258;6;3;si
58;administrador;casado;universitario;47;si;no;telefono;29;julio;7;5;0;no
32;independiente;casado;bachillerato;39;si;si;celular;15;julio;317;5;0;no
33;informal;soltero;bachillerato;27;no;no;celular;30;enero;76;2;1;no
25;estudiante;soltero;bachillerato;62;no;no;telefono;26;agosto;170;4;0;si
25;empresario;soltero;bachillerato;39;no;si;celular;17;noviembre;386;2;0;si
30;profesor;casado;bachillerato;42;si;no;celular;18;mayo;83;2;0;no
22;independiente;soltero;bachillerato;52;no;si;celular;19;agosto;65;1;0;no
39;informal;casado;primaria;19;no;no;celular;13;agosto;69;1;0;no
46;administrador;divorciado;universitario;64;no;no;chat;17;junio;564;2;0;no
31;independiente;divorciado;bachillerato;52;si;no;celular;21;julio;588;1;0;no
45;informal;casado;primaria;20;no;no;celular;18;agosto;113;4;0;no
32;empresario;casado;bachillerato;60;si;no;chat;21;mayo;16;1;0;no
36;informal;casado;bachillerato;38;no;si;celular;15;julio;779;2;0;no
51;administrador;soltero;universitario;48;si;no;celular;11;mayo;281;2;6;no
34;independiente;soltero;universitario;66;no;no;celular;21;agosto;1877;3;0;si
24;desempleado;soltero;bachillerato;69;no;no;chat;15;septiembre;51;1;0;no
45;empresario;soltero;bachillerato;15;no;si;celular;28;julio;32;3;0;no
32;informal;soltero;bachillerato;46;no;no;telefono;5;febrero;176;1;3;no
77;pensionado;divorciado;universitario;1;no;no;celular;14;abril;161;1;0;si
41;informal;casado;primaria;15;si;no;celular;18;noviembre;187;3;0;no
37;informal;casado;primaria;10;si;no;chat;26;mayo;24;1;0;no
43;informal;casado;técnico;27;si;no;chat;30;mayo;67;3;0;no
48;independiente;casado;técnico;12;si;no;celular;8;mayo;85;1;2;no
27;empresario;soltero;bachillerato;29;si;no;chat;9;mayo;317;2;0;no
33;administrador;soltero;universitario;43;no;no;celular;28;agosto;236;10;0;no
29;independiente;soltero;bachillerato;52;si;si;celular;7;mayo;54;1;2;no
34;administrador;soltero;universitario;30;no;no;celular;5;febrero;71;1;0;no
52;administrador;casado;universitario;67;si;no;celular;4;febrero;489;1;0;si
60;administrador;casado;técnico;28;no;no;chat;19;junio;39;2;0;no
32;administrador;divorciado;universitario;54;no;no;celular;12;agosto;204;2;0;no
32;administrador;soltero;universitario;70;si;no;celular;22;julio;455;2;0;no
56;profesor;divorciado;técnico;68;si;no;chat;30;mayo;86;1;0;no
31;administrador;soltero;universitario;54;si;no;celular;18;noviembre;190;2;0;no
42;independiente;casado;bachillerato;49;si;si;chat;8;mayo;280;2;0;no
35;administrador;casado;universitario;71;no;si;celular;11;agosto;588;2;0;no
56;pensionado;casado;primaria;40;no;si;chat;19;junio;45;9;0;no
48;empresario;casado;bachillerato;69;si;no;celular;21;julio;168;5;0;no
46;independiente;casado;bachillerato;17;si;no;celular;29;enero;194;4;1;no
37;empresario;soltero;técnico;22;si;no;chat;8;mayo;103;3;0;no
41;emprendedor;casado;técnico;23;si;no;chat;6;mayo;333;2;0;no
36;administrador;soltero;universitario;34;si;si;celular;29;julio;102;3;0;no
45;desempleado;divorciado;primaria;27;si;si;chat;1;julio;92;1;0;no
55;emprendedor;casado;bachillerato;33;no;no;celular;6;febrero;213;2;0;no
39;empresario;casado;bachillerato;51;no;no;chat;26;mayo;289;1;0;no
35;empresario;divorciado;bachillerato;16;no;no;celular;22;agosto;77;2;0;no
55;independiente;casado;bachillerato;69;no;no;celular;1;junio;324;3;2;si
55;empresario;casado;bachillerato;46;si;no;celular;29;enero;84;3;3;no
27;independiente;soltero;bachillerato;72;no;no;celular;29;enero;168;1;0;no
34;empresario;casado;bachillerato;42;si;no;celular;17;abril;380;1;0;no
34;informal;casado;universitario;66;no;no;chat;4;octubre;10;1;0;no
25;independiente;soltero;bachillerato;22;si;no;chat;28;mayo;199;2;0;no
41;independiente;soltero;bachillerato;48;no;si;chat;9;mayo;35;3;0;no
43;profesor;casado;bachillerato;28;si;si;chat;26;mayo;82;2;0;no
28;administrador;soltero;universitario;15;no;no;celular;20;octubre;676;2;2;si
31;independiente;soltero;bachillerato;23;si;no;chat;3;junio;455;1;0;no
78;amadiciembreasa;casado;bachillerato;19;no;no;telefono;16;marzo;80;4;0;no
45;informal;divorciado;bachillerato;36;si;no;celular;29;enero;549;2;0;no
48;empresario;casado;universitario;28;no;no;chat;6;mayo;135;1;0;no
32;informal;soltero;bachillerato;68;si;si;celular;10;julio;412;1;0;no
42;empresario;casado;bachillerato;4;no;no;chat;20;junio;101;3;0;no
37;administrador;soltero;universitario;19;no;no;celular;28;enero;253;2;0;no
40;independiente;soltero;bachillerato;56;si;si;celular;6;abril;272;1;4;no
32;independiente;casado;bachillerato;48;si;no;celular;17;julio;84;1;0;no
42;administrador;casado;universitario;68;no;no;celular;20;noviembre;135;2;0;no
43;independiente;casado;bachillerato;10;si;si;celular;23;julio;166;1;0;no
44;independiente;casado;bachillerato;33;si;si;celular;31;julio;18;7;0;no
37;independiente;casado;bachillerato;66;si;no;celular;5;mayo;147;2;1;no
37;desconocido;casado;técnico;45;no;no;chat;9;junio;63;1;0;no
37;independiente;casado;universitario;46;si;no;celular;17;noviembre;65;2;1;no
28;empresario;soltero;universitario;26;si;si;celular;2;febrero;194;2;0;no
32;profesor;soltero;bachillerato;57;no;si;celular;11;julio;333;2;0;no
34;independiente;soltero;bachillerato;59;si;no;celular;15;mayo;14;5;0;no
40;independiente;divorciado;bachillerato;34;no;no;chat;11;junio;140;1;0;no
34;profesor;casado;bachillerato;13;si;no;chat;16;junio;109;3;0;no
34;independiente;casado;universitario;53;si;no;celular;23;julio;61;2;0;no
34;independiente;casado;universitario;19;si;no;telefono;19;noviembre;377;3;4;no
37;profesor;soltero;bachillerato;26;si;no;celular;2;febrero;96;1;2;no
36;empresario;casado;bachillerato;3;si;no;celular;8;mayo;152;2;1;no
56;pensionado;casado;bachillerato;30;si;no;celular;15;junio;382;2;0;si
49;informal;casado;primaria;1;si;si;telefono;23;julio;97;6;0;no
33;independiente;casado;bachillerato;62;si;no;celular;29;julio;543;12;0;no
30;administrador;soltero;universitario;58;no;no;celular;20;noviembre;240;2;0;no
36;profesor;casado;bachillerato;5;no;no;chat;17;junio;48;2;0;no
23;estudiante;soltero;bachillerato;6;no;no;celular;5;junio;471;2;0;no
57;pensionado;divorciado;bachillerato;60;si;no;celular;30;julio;354;3;0;no
27;informal;soltero;bachillerato;64;si;no;chat;30;mayo;435;2;0;no
38;profesor;casado;bachillerato;41;no;si;celular;21;noviembre;152;2;0;no
42;empresario;casado;universitario;19;no;no;celular;3;abril;285;1;0;no
75;pensionado;casado;bachillerato;22;no;no;telefono;15;abril;185;1;2;si
34;empresario;soltero;universitario;36;si;no;celular;4;mayo;301;1;2;no
48;empresario;casado;bachillerato;57;no;no;celular;6;agosto;273;2;0;no
35;empresario;soltero;universitario;67;si;no;celular;19;agosto;768;2;3;si
39;administrador;divorciado;universitario;59;si;no;celular;19;noviembre;1337;4;1;no
29;informal;soltero;universitario;12;no;no;telefono;21;abril;403;1;0;si
45;empresario;soltero;universitario;38;si;no;celular;18;noviembre;139;2;0;no
42;empresario;casado;bachillerato;70;si;si;celular;9;julio;196;1;0;no
29;empresario;casado;bachillerato;8;si;no;celular;8;julio;115;1;1;no
38;profesor;soltero;bachillerato;37;si;no;celular;2;febrero;60;1;1;no
56;pensionado;casado;bachillerato;54;no;no;celular;28;agosto;17;14;0;no
36;empresario;soltero;bachillerato;71;si;no;celular;13;agosto;141;3;0;no
25;informal;soltero;bachillerato;63;si;no;chat;23;junio;95;3;0;no
38;empresario;casado;universitario;5;si;no;celular;15;mayo;10;2;1;no
57;independiente;casado;bachillerato;43;no;no;celular;19;noviembre;198;1;0;no
31;administrador;casado;universitario;46;no;no;celular;12;agosto;220;4;0;no
42;administrador;casado;universitario;1;si;no;celular;3;agosto;654;2;0;si
45;empresario;casado;bachillerato;47;no;no;celular;11;agosto;71;2;0;no
30;informal;casado;bachillerato;66;si;no;celular;13;mayo;256;2;2;no
49;informal;casado;primaria;21;si;si;telefono;10;julio;834;10;0;no
49;profesor;casado;bachillerato;4;no;no;celular;21;agosto;151;3;0;no
53;pensionado;casado;universitario;53;si;no;celular;31;julio;20;3;0;no
37;empresario;casado;bachillerato;14;si;no;chat;26;mayo;178;5;0;no
49;informal;casado;primaria;59;no;no;chat;26;mayo;59;2;0;no
41;independiente;casado;primaria;21;no;no;celular;13;agosto;111;7;0;no
54;administrador;casado;primaria;66;si;no;celular;20;noviembre;186;1;0;no
32;profesor;soltero;bachillerato;2;si;no;chat;6;mayo;227;1;0;no
33;empresario;casado;bachillerato;15;no;no;celular;15;mayo;297;3;0;no
33;empresario;casado;bachillerato;34;si;no;celular;20;abril;210;1;1;no
36;informal;casado;primaria;27;si;no;celular;18;mayo;9;1;0;no
35;empresario;casado;universitario;37;si;si;celular;23;septiembre;112;1;6;no
52;desconocido;casado;bachillerato;1;no;no;celular;25;agosto;112;6;0;no
40;emprendedor;casado;universitario;68;no;no;chat;9;junio;222;3;0;no
44;empresario;soltero;bachillerato;46;si;no;celular;13;mayo;195;3;10;no
45;informal;soltero;bachillerato;64;si;no;celular;26;julio;768;2;5;no
30;estudiante;soltero;bachillerato;11;no;no;celular;26;enero;123;1;0;no
48;empresario;divorciado;bachillerato;70;no;no;celular;27;agosto;145;3;0;no
33;informal;casado;bachillerato;19;si;no;celular;2;abril;124;1;2;no
57;empresario;casado;técnico;38;si;no;chat;5;mayo;216;3;0;no
57;amadiciembreasa;casado;primaria;30;no;no;chat;6;junio;69;3;0;no
51;desempleado;casado;universitario;39;si;no;celular;22;julio;168;4;0;no
34;independiente;soltero;bachillerato;67;si;no;celular;22;julio;483;7;0;no
50;independiente;casado;universitario;24;no;no;celular;19;noviembre;690;3;0;no
44;administrador;casado;universitario;39;no;no;celular;28;agosto;125;12;0;no
27;independiente;casado;bachillerato;27;si;si;chat;4;junio;344;2;0;no
50;informal;casado;bachillerato;40;si;no;chat;14;mayo;673;2;0;no
36;administrador;casado;universitario;28;si;no;celular;28;enero;60;1;1;no
42;administrador;casado;bachillerato;32;si;no;chat;12;mayo;247;2;0;no
32;desempleado;soltero;bachillerato;9;no;no;celular;27;mayo;123;2;0;no
42;administrador;casado;universitario;15;si;no;celular;11;julio;144;2;0;no
43;empresario;casado;bachillerato;23;no;si;celular;8;mayo;9;2;5;no
31;administrador;casado;universitario;50;si;no;celular;9;febrero;155;3;0;no
32;administrador;casado;universitario;58;no;no;celular;14;agosto;134;5;0;no
55;informal;divorciado;primaria;63;no;si;celular;11;julio;221;2;0;no
58;pensionado;casado;primaria;44;si;no;celular;3;febrero;84;3;2;no
46;informal;casado;primaria;28;no;no;celular;8;agosto;71;2;0;no
55;informal;casado;bachillerato;54;si;si;chat;23;mayo;246;4;0;no
34;administrador;casado;universitario;45;no;si;celular;23;julio;361;2;0;no
28;desempleado;soltero;bachillerato;59;no;no;celular;12;agosto;119;4;0;no
42;empresario;divorciado;universitario;3;si;no;celular;29;julio;375;2;0;no
29;informal;soltero;bachillerato;1;no;si;celular;10;julio;1097;3;0;si
54;amadiciembreasa;casado;bachillerato;24;si;si;celular;25;julio;97;1;0;no
32;empresario;soltero;bachillerato;44;no;no;celular;26;agosto;181;2;0;no
39;empresario;soltero;universitario;7;no;no;celular;2;febrero;83;3;0;no
53;emprendedor;casado;universitario;63;no;si;celular;21;julio;180;4;0;no
58;empresario;casado;universitario;36;no;no;celular;18;agosto;543;1;2;no
40;independiente;casado;bachillerato;6;si;si;chat;23;mayo;373;1;0;no
29;estudiante;soltero;bachillerato;12;si;no;chat;7;mayo;230;1;0;no
33;empresario;casado;universitario;61;si;si;celular;15;julio;83;3;0;no
38;independiente;soltero;bachillerato;59;si;no;telefono;31;julio;58;13;0;no
56;profesor;divorciado;bachillerato;15;no;no;celular;29;julio;88;6;0;no
40;profesor;casado;bachillerato;29;si;no;celular;2;junio;297;1;3;no
24;informal;soltero;bachillerato;63;si;si;celular;18;mayo;487;1;0;si
46;administrador;casado;bachillerato;8;no;no;chat;20;junio;29;3;0;no
35;independiente;casado;bachillerato;22;si;no;celular;21;noviembre;484;4;0;no
35;informal;soltero;universitario;27;si;no;celular;21;julio;262;4;0;no
34;empresario;casado;bachillerato;43;si;no;chat;15;mayo;644;1;0;no
35;amadiciembreasa;casado;universitario;55;no;no;celular;12;agosto;699;2;1;no
38;empresario;soltero;universitario;13;no;no;celular;28;agosto;247;2;0;no
50;informal;casado;primaria;50;no;no;celular;18;noviembre;49;3;0;no
51;informal;divorciado;primaria;39;si;no;celular;13;mayo;341;1;0;no
59;independiente;casado;universitario;19;no;no;chat;13;mayo;64;2;0;no
32;informal;casado;bachillerato;53;si;no;celular;20;abril;121;1;0;no
37;informal;soltero;bachillerato;72;si;no;chat;2;junio;98;1;0;no
42;independiente;divorciado;bachillerato;62;no;no;chat;16;mayo;88;6;0;no
40;estudiante;casado;bachillerato;27;no;no;chat;20;junio;197;6;0;no
28;empresario;soltero;universitario;55;si;no;chat;9;mayo;331;1;0;no
47;independiente;casado;bachillerato;15;si;no;chat;6;junio;83;3;0;no
27;independiente;casado;bachillerato;33;si;no;chat;26;mayo;138;2;0;no
41;administrador;casado;universitario;67;si;no;celular;17;julio;312;5;0;no
34;independiente;casado;universitario;43;no;si;celular;4;agosto;120;3;6;si
50;informal;casado;primaria;67;si;no;celular;7;agosto;526;2;0;si
47;informal;casado;bachillerato;43;si;no;chat;28;mayo;211;2;0;no
53;profesor;casado;bachillerato;18;no;no;celular;18;agosto;62;6;0;no
53;empresario;divorciado;bachillerato;48;si;si;celular;15;julio;135;5;0;no
47;administrador;casado;universitario;53;no;no;celular;14;agosto;101;2;0;no
49;emprendedor;divorciado;técnico;69;si;no;celular;30;julio;988;2;0;si
29;administrador;casado;universitario;31;no;no;celular;28;enero;451;1;0;no
45;informal;divorciado;primaria;18;si;no;chat;23;mayo;1030;1;0;si
38;emprendedor;casado;bachillerato;34;si;si;celular;24;julio;1484;24;0;si
32;informal;casado;bachillerato;59;si;no;celular;9;abril;317;5;0;si
70;pensionado;divorciado;primaria;3;no;no;celular;18;mayo;445;1;0;no
65;pensionado;divorciado;primaria;51;no;no;celular;1;junio;383;2;5;no
56;informal;casado;bachillerato;59;si;no;telefono;22;julio;605;1;0;no
35;informal;casado;bachillerato;68;si;no;celular;14;julio;330;2;0;no
56;administrador;casado;técnico;58;no;si;celular;25;julio;171;2;0;no
56;empresario;casado;bachillerato;36;no;si;celular;23;julio;442;2;0;no
49;emprendedor;casado;bachillerato;52;si;no;celular;17;abril;772;1;0;si
38;desempleado;casado;primaria;42;si;si;chat;8;mayo;249;5;0;no
35;administrador;casado;universitario;57;si;no;chat;9;mayo;357;1;0;no
38;independiente;casado;universitario;72;no;no;celular;18;noviembre;147;2;0;no
49;informal;casado;bachillerato;46;si;si;celular;6;mayo;199;7;1;no
55;administrador;casado;técnico;50;no;no;celular;28;enero;271;2;0;no
43;informal;soltero;primaria;66;si;no;celular;30;julio;783;3;0;no
43;administrador;casado;universitario;18;no;si;celular;20;agosto;472;2;0;no
25;independiente;soltero;universitario;64;si;no;celular;27;mayo;223;3;2;si
30;informal;casado;primaria;44;si;no;chat;21;mayo;395;2;0;no
46;informal;casado;bachillerato;20;no;no;celular;4;febrero;56;1;0;no
50;independiente;casado;primaria;44;no;si;chat;17;junio;641;6;0;no
35;emprendedor;casado;bachillerato;70;no;no;celular;4;mayo;429;4;2;si
26;desempleado;soltero;bachillerato;32;no;no;chat;31;mayo;113;1;0;no
45;independiente;casado;técnico;36;no;no;chat;20;junio;11;11;0;no
37;informal;casado;bachillerato;13;no;no;celular;2;febrero;157;1;0;no
60;independiente;soltero;universitario;31;no;si;celular;29;julio;79;4;0;no
38;administrador;casado;universitario;62;no;no;celular;4;agosto;178;1;1;si
47;informal;casado;primaria;48;si;si;chat;9;junio;168;1;0;no
33;empresario;casado;bachillerato;37;no;no;celular;9;noviembre;425;1;1;no
51;desempleado;casado;bachillerato;23;no;si;celular;19;noviembre;162;1;0;no
35;emprendedor;soltero;universitario;72;si;no;celular;18;julio;799;2;0;si
35;desempleado;casado;bachillerato;21;no;no;celular;29;diciembre;1370;3;3;si
48;independiente;soltero;bachillerato;29;si;no;chat;28;mayo;357;1;0;no
37;independiente;casado;bachillerato;22;no;no;celular;22;julio;22;6;0;no
29;empresario;soltero;universitario;43;si;no;celular;16;abril;215;3;3;no
34;independiente;casado;bachillerato;22;si;no;celular;31;julio;56;4;0;no
32;profesor;casado;primaria;69;si;no;celular;21;julio;1017;6;0;si
30;administrador;soltero;universitario;33;no;no;celular;16;abril;298;4;0;si
47;administrador;divorciado;universitario;70;no;si;chat;7;mayo;126;1;0;no
33;informal;casado;primaria;12;no;no;chat;20;septiembre;9;1;0;no
33;administrador;soltero;universitario;16;si;no;celular;5;febrero;8;1;5;no
63;pensionado;casado;primaria;22;no;no;celular;14;octubre;201;1;1;no
51;independiente;divorciado;primaria;57;no;no;celular;6;mayo;106;2;0;no
41;administrador;casado;universitario;36;si;si;celular;21;noviembre;164;1;1;no
56;pensionado;casado;universitario;27;no;no;celular;5;febrero;97;1;0;no
60;administrador;soltero;universitario;51;no;si;celular;23;julio;151;1;0;no
41;independiente;soltero;universitario;13;si;no;chat;30;mayo;96;2;0;no
37;administrador;soltero;técnico;4;si;no;celular;16;abril;555;1;0;no
36;informal;soltero;bachillerato;70;si;si;celular;11;mayo;270;2;1;no
57;administrador;casado;universitario;1;no;no;celular;29;julio;339;3;0;no
55;administrador;casado;primaria;60;no;no;celular;4;septiembre;328;2;2;si
44;independiente;casado;bachillerato;65;si;si;chat;16;mayo;159;1;0;no
47;independiente;casado;universitario;71;si;no;celular;6;mayo;323;2;1;no
31;informal;casado;bachillerato;53;si;no;celular;20;abril;342;1;0;no
35;administrador;casado;universitario;12;si;no;celular;21;noviembre;180;1;0;no
39;administrador;casado;universitario;13;no;si;celular;28;julio;60;3;0;no
50;administrador;casado;universitario;61;no;no;celular;17;noviembre;223;1;2;no
29;administrador;casado;universitario;69;si;no;celular;18;mayo;1434;2;4;no
30;profesor;soltero;bachillerato;14;si;no;chat;6;mayo;30;2;0;no
46;profesor;casado;bachillerato;33;si;no;chat;16;mayo;134;4;0;no
27;administrador;soltero;técnico;5;no;no;celular;9;febrero;10;2;0;no
48;independiente;divorciado;bachillerato;69;no;no;celular;2;abril;397;2;0;si
26;estudiante;soltero;bachillerato;45;si;no;celular;5;mayo;620;1;0;no
36;administrador;soltero;universitario;70;no;no;celular;21;noviembre;6;6;0;no
42;informal;casado;primaria;34;si;si;celular;7;mayo;209;2;0;no
50;amadiciembreasa;casado;primaria;14;si;no;chat;15;mayo;419;2;0;no
49;informal;casado;bachillerato;46;si;no;celular;18;noviembre;283;2;0;no
45;administrador;casado;universitario;9;no;no;celular;8;agosto;188;2;0;no
23;estudiante;soltero;bachillerato;4;no;no;celular;16;septiembre;267;1;0;no
38;empresario;soltero;bachillerato;35;si;no;celular;7;abril;196;2;0;no
32;administrador;soltero;universitario;12;si;no;celular;17;abril;245;1;2;no
60;empresario;soltero;primaria;34;no;no;celular;26;agosto;323;1;0;si
